Year,Source details,SERIES,UNIT_MEASURE,Observation-level footnotes,Value
1977,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,2.4578
1978,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,4.2043
1979,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,3.749
1980,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,-2.0314
1981,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,-0.7877
1982,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,1.9949
1983,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,4.2219
1984,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,2.2691
1985,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,4.1474
1986,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,3.1503
1987,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,5.3927
1988,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,5.7324
1989,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,2.5776
1990,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,0.7338
1991,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,-1.1031
1992,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,0.4011
1993,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,2.4898
1994,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,3.846
1995,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,2.5317
1996,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,2.4916
1997,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,4.9753
1998,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,3.7078
1999,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,3.2952
2000,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,3.5062
2001,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,2.7303
2002,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,2.1787
2003,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,3.3219
2004,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,2.2863
2005,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,2.9557
2006,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,2.6938
2007,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,2.3606
2008,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,-0.2788
2009,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,-4.1139
2010,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,2.0741
2011,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,1.2757
2012,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,1.4304
2013,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,2.1861
2014,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,2.8627
2015,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,2.3631
2016,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,1.7224
2017,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,1.7403
2018,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,1.2526
2019,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,1.3708
2020,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,-9.7902
1960,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.3571
1961,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.3571
1962,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.3571
1963,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.3571
1964,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.3571
1965,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.3571
1966,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.3571
1967,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.3621
1968,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.4167
1969,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.4167
1970,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.4167
1971,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.4109
1972,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.4004
1973,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.4082
1974,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.4278
1975,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.452
1976,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.5565
1977,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.5733
1978,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.5215
1979,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.4722
1980,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.4303
1981,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.4976
1982,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.5724
1983,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.6597
1984,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.7518
1985,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.7792
1986,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.6822
1987,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.6119
1988,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.5622
1989,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.6112
1990,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.5632
1991,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.567
1992,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.5698
1993,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.6668
1994,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.6534
1995,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.6337
1996,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.641
1997,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.6108
1998,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.6038
1999,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.6181
2000,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.6609
2001,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.6947
2002,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.6672
2003,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.6125
2004,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.5462
2005,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.55
2006,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.5435
2007,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.4998
2008,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.544
2009,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.6419
2010,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.6472
2011,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.6241
2012,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.633
2013,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.6397
2014,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.6077
2015,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.6545
2016,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.7406
2017,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.777
2018,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.7496
2019,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.7834
2020,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,,0.78
1960,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,32.2842
1961,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,30.618
1962,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,29.948
1963,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,30.2985
1964,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,30.5548
1965,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,29.4015
1966,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,28.9511
1967,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,28.5483
1968,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,31.9423
1969,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,32.2896
1970,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,31.6066
1971,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,31.0275
1972,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,30.3862
1973,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,35.4034
1974,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,44.8195
1975,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,40.0254
1976,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,43.4625
1977,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,45.2551
1978,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,42.7828
1979,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,42.3689
1980,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,39.9469
1981,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,37.9003
1982,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,38.177
1983,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,39.1528
1984,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,43.0361
1985,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,42.9625
1986,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,38.8099
1987,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,38.3358
1988,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,36.7538
1989,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,37.7691
1990,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,37.3363
1991,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,34.5565
1992,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,34.8875
1993,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,36.8102
1994,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,38.5058
1995,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,37.6564
1996,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,38.566
1997,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,37.7309
1998,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,36.0362
1999,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,35.4937
2000,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,37.5599
2001,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,37.5697
2002,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,36.0513
2003,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,34.2882
2004,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,33.9739
2005,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,36.141
2006,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,39.52
2007,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,35.2805
2008,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,39.2299
2009,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,36.5205
2010,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,40.7987
2011,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,44.7884
2012,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,43.6987
2013,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,43.4354
2014,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,39.3054
2015,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,37.3656
2016,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,38.8968
2017,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,40.6387
2018,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,40.5522
2019,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,41.1713
2020,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,,38.3356
